Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Avocados,1,0,0,0,160,15.0,2.0,0.55,12.0,7,485.0,8.5,6.7,0,0.7
Bananas,1,0,0,0,89,0.3,1.1,0.26,5.0,1,358.0,23.0,2.6,0,12.0
Bagels made in wheat,0,1,1,0,250,1.5,10.0,2.76,20.0,439,165.0,49.0,4.1,0,6.1
Berries,1,0,0,0,349,0.4,14.0,6.8,190.0,298,77.0,77.0,13.0,0,46.0
Brocolli,0,1,1,0,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6
Brown Rice,0,1,1,0,362,2.7,7.5,1.8,33.0,4,268.0,76.0,3.4,0,0.0
Cauliflower,0,1,1,0,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0
American cheese,1,0,0,0,331,24.0,20.0,0.84,497.0,966,363.0,8.3,0.0,0,0.0
Coffee,1,0,0,0,2,0.0,0.3,0.02,2.0,1,50.0,0.2,0.0,0,0.0
Corn,1,1,1,0,97,1.4,3.3,0.55,2.0,253,3.3,22.0,2.7,0,7.7
Dark chocolates,0,0,1,0,556,32.0,5.5,2.13,30.0,6,502.0,60.0,6.5,0,48.0
Grapes,1,0,0,0,93,2.1,5.6,2.63,363.0,9,272.0,17.0,11.0,0,6.3
Milk,1,0,1,0,97,6.9,3.8,0.12,169.0,52,178.0,5.2,0.0,0,0.0
Cashew Nuts,1,0,0,0,553,44.0,18.0,6.68,37.0,12,660.0,30.0,3.3,0,5.9
Onions,0,1,1,0,40,0.1,1.1,0.21,23.0,4,146.0,9.3,1.7,0,4.2
Orange,1,0,0,0,97,0.2,1.5,0.8,161.0,3,212.0,25.0,11.0,0,0.0
Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,0.91,13.0,381,192.0,14.0,0.9,0,4.0
Pears,1,0,0,0,57,0.1,0.4,0.18,9.0,1,116.0,15.0,3.1,0,9.8
Peas,0,1,1,0,81,0.4,5.4,1.47,25.0,5,244.0,14.0,5.7,0,5.7
Protein Powder,1,0,0,0,411,17.0,46.0,8.57,500.0,329,1129.0,19.0,7.1,200,5.7
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15.0,237,230.0,4.3,1.1,0,2.1
Peproni Pizza,0,0,1,0,298,14.0,12.0,2.14,146.0,692,199.0,30.0,1.8,0,3.2
Cheese Pizza,0,0,1,0,276,11.0,11.0,2.47,192.0,580,170.0,33.0,2.1,0,2.5
French Fries,0,1,1,0,289,14.0,3.5,0.91,17.0,357,545.0,37.0,3.9,0,0.3
Cheese Burger,0,1,1,0,256,12.0,13.0,2.78,92.0,660,178.0,25.0,1.4,0,0.0
Sugar Doughnuts,0,1,1,0,426,23.0,5.2,1.06,60.0,402,102.0,51.0,1.5,0,32.0
Chocolate Doughnuts,0,1,1,0,452,25.0,4.9,4.0,24.0,326,201.0,51.0,1.9,0,27.0
Pop Corn - Caramel,1,0,1,0,381,1.4,2.0,0.8,18.0,286,110.0,90.0,2.5,0,65.0
Pop Corn,1,0,1,0,429,9.5,13.0,2.28,11.0,490,241.0,73.0,14.0,0,0.5
Dosa,1,1,1,0,168,3.7,4.5,8.0,0.7,94,76.0,29.0,0.9,0,0.1
Idli,1,1,1,0,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74
Poha,1,0,0,0,130,1.5,2.6,3.16,1.0,201,117.0,26.9,1.1,0,0.5
Chappati,0,1,1,0,297,7.5,11.0,3.01,93.0,409,266.0,46.0,4.9,0,2.7
Tomato,1,1,1,0,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63
Yogurt,1,1,1,0,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0
Brownie,1,0,0,0,407,6.2,4.4,3.81,17.0,457,51.0,84.0,2.9,0,55.0
Noodles,0,1,1,0,108,0.2,1.8,0.14,4.0,19,4.0,24.0,1.0,0,0.0
Uttapam,1,1,1,0,188,7.2,4.4,24.0,6.4,522,91.0,26.4,2.2,0,0.24
Bhaji Pav,1,0,0,0,151,2.4,9.0,37.4,3.4,438,180.0,29.3,1.0,0,1.35
Dal Makhani,0,1,1,0,109,8.5,2.1,35.2,8.3,243,366.0,6.3,1.5,0,3.29
Almonds,1,0,0,0,579,50.0,21.0,3.71,269.0,1,733.0,22.0,13.0,0,4.4
Mushrooms,1,1,1,0,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0
Sweet Potatoes cooked,1,1,0,0,76,0.1,1.4,0.72,27.0,27,230.0,18.0,2.5,0,5.7
Boiled Potatoes,1,1,1,0,87,0.1,1.9,0.31,5.0,240,379.0,20.0,2.0,0,0.9
White Rice,0,1,1,0,360,0.6,6.6,4.36,9.0,1,86.0,79.0,1.4,0,0.0
Orange juice,1,0,0,0,45,0.2,0.7,0.2,11.0,1,200.0,10.0,0.2,0,8.4
Greek yogurt plain,1,1,1,0,73,1.9,10.0,0.04,115.0,34,141.0,3.9,0.0,0,3.6
Oat Bran Cooked,1,0,0,0,40,0.9,3.2,0.88,10.0,1,92.0,11.0,2.6,0,0.0
Green Tea,1,0,0,0,1,0.0,0.2,0.02,0.0,1,0.2,0.0,0.0,0,0.0
Chia seeds,1,0,0,0,486,31.0,17.0,7.72,631.0,16,407.0,42.0,34.0,0,0.0
Cottage cheese with vegetables,0,1,1,0,95,4.2,11.0,0.1,56.0,403,86.0,3.0,0.1,0,0.4
Cereals-Corn Flakes,1,0,0,0,384,0.9,5.9,19.4,2.0,571,107.0,88.0,2.7,286,7.8
Beans,0,1,1,0,31,0.2,1.8,1.03,37.0,6,211.0,7.0,2.7,0,3.3
Lentils,0,1,1,0,101,0.5,8.8,3.1,14.0,246,284.0,21.0,0.0,0,0.0
Pasta with corn homemade,0,1,1,0,126,0.7,2.6,0.25,1.0,0,31.0,28.0,4.8,0,0.0
Tea,1,0,0,0,1,0.0,0.0,0.08,2.0,1,9.0,0.2,0.0,0,0.0
Apples,1,0,0,0,52,0.2,0.3,0.12,6.0,1,107.0,14.0,24.0,0,10.0
Strawberries,1,0,0,0,32,0.3,0.7,0.41,16.0,1,153.0,7.7,2.0,0,4.9
Quninoa,1,1,0,0,120,1.9,4.4,1.49,17.0,7,172.0,21.0,2.8,0,0.9
Mexican Rice,0,1,1,0,195,4.9,3.6,1.18,39.0,677,131.0,34.0,1.1,0,1.4
